"bucket","source","dest","bytes"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\support.huawei.com-enterprise-en-doc-EDOC1100265210-288032bf-connecting-cables.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\support.huawei.com-enterprise-en-doc-EDOC1100265210-288032bf-connecting-cables.md","26399"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\support.huawei.com-enterprise-en-doc-EDOC1100265210-998e36a3-technical-specifications.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\support.huawei.com-enterprise-en-doc-EDOC1100265210-998e36a3-technical-specifications.md","21770"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\support.huawei.com-enterprise-en-doc-EDOC1100265210-9acf6acc-configuration-principles.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\support.huawei.com-enterprise-en-doc-EDOC1100265210-9acf6acc-configuration-principles.md","24316"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\tigoenergy.com-product-ts4-a-o.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\tigoenergy.com-product-ts4-a-o.md","66070"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\webstore.iec.ch-en-publication-27684.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\webstore.iec.ch-en-publication-27684.md","5558"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\webstore.iec.ch-en-publication-64171.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\webstore.iec.ch-en-publication-64171.md","8390"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\webstore.iec.ch-en-publication-6470.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\webstore.iec.ch-en-publication-6470.md","9875"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\webstore.iec.ch-en-publication-6471.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\webstore.iec.ch-en-publication-6471.md","5640"
"firecrawl_required","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\webstore.iec.ch-en-publication-6479.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\required\webstore.iec.ch-en-publication-6479.md","3925"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\7sun.eu-product-category-optimizers.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\7sun.eu-product-category-optimizers.md","30074"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\analog.com-media-en-news-marketing-collateral-product-highlight-maxim-solar-cell-optimizer-product-brief.pdf.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\analog.com-media-en-news-marketing-collateral-product-highlight-maxim-solar-cell-optimizer-product-brief.pdf.md","3125"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\canada.apsystems.com-ds3.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\canada.apsystems.com-ds3.md","5378"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\deyeinverter.com-deyeinverter-2023-12-21-datasheet_sun-xl02-a_231221_en.pdf.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\deyeinverter.com-deyeinverter-2023-12-21-datasheet_sun-xl02-a_231221_en.pdf.md","1793"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\deyeinverter.com-product-accessory-monitoring-1-SUNXL02A-2538.html.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\deyeinverter.com-product-accessory-monitoring-1-SUNXL02A-2538.html.md","15379"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\enphase.com-store-microinverters-iq8-series.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\enphase.com-store-microinverters-iq8-series.md","16163"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\global.apsystems.com-wp-content-uploads-2022-07-APsystems-Microinverter-DS3-series-for-APAC-Installation-manual_Rev1.1_2022-07-15.pdf.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\global.apsystems.com-wp-content-uploads-2022-07-APsystems-Microinverter-DS3-series-for-APAC-Installation-manual_Rev1.1_2022-07-15.pdf.md","29929"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\hoymiles.com-products-hms-300w-350w-400w-450w-500w-1t-wi-fi-integrated.html.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\hoymiles.com-products-hms-300w-350w-400w-450w-500w-1t-wi-fi-integrated.html.md","8349"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\hoymiles.com-products-hms-600-700-800-900-1000-2t.html.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\hoymiles.com-products-hms-600-700-800-900-1000-2t.html.md","7621"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\iea-pvps.org-wp-content-uploads-2020-01-IEA-PVPS_15_R09_BIPV_Design_Tools_report.pdf.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\iea-pvps.org-wp-content-uploads-2020-01-IEA-PVPS_15_R09_BIPV_Design_Tools_report.pdf.md","206190"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\northernep.com-downloads-manuals-bdm-300-micro-inverter-manual.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\northernep.com-downloads-manuals-bdm-300-micro-inverter-manual.md","31970"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\offgridtec.com-en-hoymiles-hms-500-1t-microinverter-module-inverter.html.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\offgridtec.com-en-hoymiles-hms-500-1t-microinverter-module-inverter.html.md","59018"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\onsaplus.eu-tigo-ts4-a-o.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\onsaplus.eu-tigo-ts4-a-o.md","25875"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\self2solar.com-products-hms500.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\self2solar.com-products-hms500.md","227035"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\signaturesolar.com-tigo-energy.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\signaturesolar.com-tigo-energy.md","42662"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\solaredge.com-en-products-commercial-s1500-power-optimizer.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\solaredge.com-en-products-commercial-s1500-power-optimizer.md","28857"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\ti.com-lit-pdf-tiduf99.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\ti.com-lit-pdf-tiduf99.md","49239"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\tsun-ess.com-datasheet-gen3-microinverter-6-in-1-0701.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\tsun-ess.com-datasheet-gen3-microinverter-6-in-1-0701.md","2799"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\tsun-ess.com-gen3-microinverter-6-in-1.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\tsun-ess.com-gen3-microinverter-6-in-1.md","43717"
"firecrawl_useful","C:\Users\Denys\Documents\Projects\PVplant\.firecrawl\ul.com-services-distributed-energy-resource-testing.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\02_firecrawl_scraped_sources\useful\ul.com-services-distributed-energy-resource-testing.md","30858"
"iwin_topology_synthesis","C:\Users\Denys\Documents\Projects\PVplant\Daily\2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis\action_log.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\01_iwin_topology_synthesis\action_log.md","2213"
"iwin_topology_synthesis","C:\Users\Denys\Documents\Projects\PVplant\Daily\2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis\evidence_index.csv","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\01_iwin_topology_synthesis\evidence_index.csv","14746"
"iwin_topology_synthesis","C:\Users\Denys\Documents\Projects\PVplant\Daily\2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis\microinverter_deep_dive.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\01_iwin_topology_synthesis\microinverter_deep_dive.md","8944"
"iwin_topology_synthesis","C:\Users\Denys\Documents\Projects\PVplant\Daily\2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis\optimizer_deep_dive.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\01_iwin_topology_synthesis\optimizer_deep_dive.md","8532"
"iwin_topology_synthesis","C:\Users\Denys\Documents\Projects\PVplant\Daily\2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis\report.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\01_iwin_topology_synthesis\report.md","20565"
"iwin_topology_synthesis","C:\Users\Denys\Documents\Projects\PVplant\Daily\2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis\source_discovery_notes.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\01_iwin_topology_synthesis\source_discovery_notes.md","4299"
"iwin_topology_synthesis","C:\Users\Denys\Documents\Projects\PVplant\Daily\2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis\source_inventory.csv","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\01_iwin_topology_synthesis\source_inventory.csv","16033"
"literature_public_clue","C:\Users\Denys\Documents\Projects\PVplant\claude_literature\accelerate-solar.com-Power Optimizer vs Microinverter Which Is Better in   Accelerate Solar-fpscreenshot.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\03_literature_pdfs\public_clue_optional\accelerate-solar.com-Power Optimizer vs Microinverter Which Is Better in   Accelerate Solar-fpscreenshot.pdf","1975521"
"literature_required_useful","C:\Users\Denys\Documents\Projects\PVplant\claude_literature\A comprehensive techno-economic review of microinverters.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\03_literature_pdfs\required_and_useful\A comprehensive techno-economic review of microinverters.pdf","1006318"
"literature_required_useful","C:\Users\Denys\Documents\Projects\PVplant\claude_literature\Building Integrated Photovoltaic Systems -- Characteristics and Power Management.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\03_literature_pdfs\required_and_useful\Building Integrated Photovoltaic Systems -- Characteristics and Power Management.pdf","1604986"
"literature_required_useful","C:\Users\Denys\Documents\Projects\PVplant\claude_literature\Effects of Power Optimizer Application in a Building-Integrated Photovoltaic System According to Shade Conditions.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\03_literature_pdfs\required_and_useful\Effects of Power Optimizer Application in a Building-Integrated Photovoltaic System According to Shade Conditions.pdf","15488695"
"literature_required_useful","C:\Users\Denys\Documents\Projects\PVplant\claude_literature\Review on Building-Integrated Photovoltaics Electrical System Requirements and Module-Integrated Converter Recommendations.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\03_literature_pdfs\required_and_useful\Review on Building-Integrated Photovoltaics Electrical System Requirements and Module-Integrated Converter Recommendations.pdf","5326606"
"literature_required_useful","C:\Users\Denys\Documents\Projects\PVplant\claude_literature\source_inventory.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\03_literature_pdfs\required_and_useful\source_inventory.md","3509"
"presentation_optional","C:\Users\Denys\Documents\Projects\PVplant\iWin Electrical connection topology for BIPV.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\05_presentation_decks_optional\iWin Electrical connection topology for BIPV.pdf","2653822"
"presentation_optional","C:\Users\Denys\Documents\Projects\PVplant\Presentations\1_4_BIPV_Shading_Granularity_Safety_Value.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\05_presentation_decks_optional\1_4_BIPV_Shading_Granularity_Safety_Value.pdf","80055112"
"presentation_optional","C:\Users\Denys\Documents\Projects\PVplant\Presentations\1_BIPV_Shading_Mitigation.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\05_presentation_decks_optional\1_BIPV_Shading_Mitigation.pdf","19568014"
"presentation_optional","C:\Users\Denys\Documents\Projects\PVplant\Presentations\2_The_Granularity_Paradigm.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\05_presentation_decks_optional\2_The_Granularity_Paradigm.pdf","18482175"
"presentation_optional","C:\Users\Denys\Documents\Projects\PVplant\Presentations\3_BIPV_Safety_Architecture.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\05_presentation_decks_optional\3_BIPV_Safety_Architecture.pdf","19898972"
"presentation_optional","C:\Users\Denys\Documents\Projects\PVplant\Presentations\4_Active_Envelope_Engineering.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\05_presentation_decks_optional\4_Active_Envelope_Engineering.pdf","22181704"
"presentation_optional","C:\Users\Denys\Documents\Projects\PVplant\Presentations\5_BIPV_SD_Architectures_ACvsDC_Comparison.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\05_presentation_decks_optional\5_BIPV_SD_Architectures_ACvsDC_Comparison.pdf","19514377"
"project_context","C:\Users\Denys\Documents\Projects\PVplant\BIPV_Codex_Edition\analysis\BIPV_Presentation_Deck_Audit.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\00_project_context\BIPV_Presentation_Deck_Audit.md","40267"
"project_context","C:\Users\Denys\Documents\Projects\PVplant\BIPV_Codex_Edition\analysis\BIPV_Presentation_Deck_Missing_Information_Map.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\00_project_context\BIPV_Presentation_Deck_Missing_Information_Map.md","9598"
"project_context","C:\Users\Denys\Documents\Projects\PVplant\BIPV_Codex_Edition\analysis\BIPV_Presentation_Deck_Primary_Source_Reevaluation.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\00_project_context\BIPV_Presentation_Deck_Primary_Source_Reevaluation.md","11099"
"project_context","C:\Users\Denys\Documents\Projects\PVplant\BIPV_Codex_Edition\analysis\Firecrawl_Research_Instructions_Lugano_iWin_Office_Facade.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\00_project_context\Firecrawl_Research_Instructions_Lugano_iWin_Office_Facade.md","20607"
"project_context","C:\Users\Denys\Documents\Projects\PVplant\BIPV_Codex_Edition\analysis\Research_Prompt_Lugano_iWin_Office_Facade.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\00_project_context\Research_Prompt_Lugano_iWin_Office_Facade.md","17281"
"project_context","C:\Users\Denys\Documents\Projects\PVplant\BIPV_Codex_Edition\BIPV_Brain.md","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\00_project_context\BIPV_Brain.md","14210"
"pv_dmppt_required","C:\Users\Denys\Documents\Projects\PVplant\PV_books\IEC 62548-2016 - Photovoltaic (PV) arrays - Design requirements -- 1_0.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\required\IEC 62548-2016 - Photovoltaic (PV) arrays - Design requirements -- 1_0.pdf","2968715"
"pv_dmppt_required","C:\Users\Denys\Documents\Projects\PVplant\PV_books\NEW_0413_BIPV\Building-Integrated Photovoltaics -- A Technical Guidebook - 2025 -Nuria Martín Chivelet.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\required\Building-Integrated Photovoltaics -- A Technical Guidebook - 2025 -Nuria Martín Chivelet.pdf","48660737"
"pv_dmppt_required","C:\Users\Denys\Documents\Projects\PVplant\PV_books\NEW\Photovoltaic Systems Technology 2024 - Mohammed Aslam Husain, Md Waseem Ahmad.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\required\Photovoltaic Systems Technology 2024 - Mohammed Aslam Husain, Md Waseem Ahmad.pdf","25823407"
"pv_dmppt_required","C:\Users\Denys\Documents\Projects\PVplant\PV_books\Photovoltaic power system -- modelling, design, and control 2017 - Weidong Xiao.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\required\Photovoltaic power system -- modelling, design, and control 2017 - Weidong Xiao.pdf","26651786"
"pv_dmppt_secondary_optional","C:\Users\Denys\Documents\Projects\PVplant\PV_books\NEW_0413_BIPV\Challenges and Optimization of Building-Integrated Photovoltaics (BIPV) Windows-- A Review - 2023 - Shaohang Shi, Ning Zhu.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\secondary_optional\Challenges and Optimization of Building-Integrated Photovoltaics (BIPV) Windows-- A Review - 2023 - Shaohang Shi, Ning Zhu.pdf","3109933"
"pv_dmppt_secondary_optional","C:\Users\Denys\Documents\Projects\PVplant\PV_books\NEW\Photovoltaic Design & Installation For Dummies - 2010 - Ryan Mayfield.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\secondary_optional\Photovoltaic Design & Installation For Dummies - 2010 - Ryan Mayfield.pdf","6823313"
"pv_dmppt_useful","C:\Users\Denys\Documents\Projects\PVplant\PV_books\NEW\Maximum power point tracking -- background, implementation and classification - 2020 - Maurice Hébert.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\useful\Maximum power point tracking -- background, implementation and classification - 2020 - Maurice Hébert.pdf","13501978"
"pv_dmppt_useful","C:\Users\Denys\Documents\Projects\PVplant\PV_books\NEW\Modeling of photovoltaic systems using MATLAB - simplified green codes - 2016 - Tamer Khatib; Wilfried Elmenreich.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\useful\Modeling of photovoltaic systems using MATLAB - simplified green codes - 2016 - Tamer Khatib; Wilfried Elmenreich.pdf","7950434"
"pv_dmppt_useful","C:\Users\Denys\Documents\Projects\PVplant\PV_books\Photovoltaics -- System Design and Practice 2012 — Heinrich Häberlin,.pdf","C:\Users\Denys\Documents\Projects\PVplant\NotebookLM\Sources\04_pv_dmppt_books\useful\Photovoltaics -- System Design and Practice 2012 — Heinrich Häberlin,.pdf","25531894"
